model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
random_forest_depth_8,glare,60,0.39285714285714285,0.55,0.4583333333333333,0.36220658509688597,0.5479475243334744
random_forest_depth_8,backlight,55,0.5,0.7818181818181819,0.6099290780141844,0.5200895819508958,0.6974262316391524
random_forest_depth_8,transition,77,0.38144329896907214,0.4805194805194805,0.42528735632183906,0.33056355409296584,0.5028619033617563
random_forest_depth_8,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
random_forest_depth_12,night_clear,417,0.9665071770334929,0.9688249400479616,0.9676646706586827,0.9566210284280937,0.9780429613412086
random_forest_depth_12,normal_night,352,0.8720238095238095,0.8323863636363636,0.8517441860465116,0.8179265503466684,0.8778700369563157
random_forest_depth_12,normal_day,366,0.7520891364902507,0.7377049180327869,0.7448275862068966,0.7113612133647135,0.7801242063050017
random_forest_depth_12,fog,231,0.7647058823529411,0.7878787878787878,0.7761194029850746,0.737428689148073,0.8162589806405847
random_forest_depth_12,rain,194,0.6162162162162163,0.5876288659793815,0.6015831134564644,0.5378571428571428,0.6622562674094706
random_forest_depth_12,glare,60,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4266025641025641,0.6438109219025249
random_forest_depth_12,backlight,55,0.5945945945945946,0.8,0.6821705426356589,0.5895333333333334,0.7653351458747255
random_forest_depth_12,transition,77,0.4935064935064935,0.4935064935064935,0.4935064935064935,0.40395545314900155,0.5618469687154669
random_forest_depth_12,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
random_forest_depth_none,night_clear,417,0.9665071770334929,0.9688249400479616,0.9676646706586827,0.9562990455991517,0.9777889645257396
random_forest_depth_none,normal_night,352,0.8624641833810889,0.8551136363636364,0.8587731811697575,0.8312926136363636,0.8826783389418117
random_forest_depth_none,normal_day,366,0.7956989247311828,0.8087431693989071,0.8021680216802168,0.7661750303465019,0.8277407171236573
random_forest_depth_none,fog,231,0.8008474576271186,0.8181818181818182,0.8094218415417559,0.7683696900114811,0.8434976143141153
random_forest_depth_none,rain,194,0.7065217391304348,0.6701030927835051,0.6878306878306878,0.6418464716465649,0.7460268317853457
random_forest_depth_none,glare,60,0.6086956521739131,0.4666666666666667,0.5283018867924528,0.4096659051970303,0.6301557377049178
random_forest_depth_none,backlight,55,0.589041095890411,0.7818181818181819,0.671875,0.576271186440678,0.7545774647887322
random_forest_depth_none,transition,77,0.5797101449275363,0.5194805194805194,0.547945205479452,0.4435,0.6229680915111379
random_forest_depth_none,nir_night,361,0.9726775956284153,0.9861495844875346,0.9793672627235214,0.9682122645234315,0.9886700693374422
extra_trees,night_clear,417,0.9327146171693735,0.9640287769784173,0.9481132075471698,0.9352684885058986,0.9627540533748123
extra_trees,normal_night,352,0.8626198083067093,0.7670454545454546,0.8120300751879699,0.7831358001251165,0.8428719463797513
extra_trees,normal_day,366,0.7808988764044944,0.7595628415300546,0.7700831024930748,0.7322995780590718,0.7977918060851296
extra_trees,fog,231,0.7233201581027668,0.7922077922077922,0.756198347107438,0.7164775822560422,0.7988933601609658
extra_trees,rain,194,0.7123287671232876,0.5360824742268041,0.611764705882353,0.557904740608229,0.6744972663191817
extra_trees,glare,60,0.5238095238095238,0.55,0.5365853658536586,0.4239627157986363,0.6227353320438427
extra_trees,backlight,55,0.5,0.8181818181818182,0.6206896551724138,0.5303776978417266,0.7101169217687074
