env_class,edge_case,detail_strength,clahe_clip_scale,proc_w,proc_h,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,p90_pct_crush_after,stopping_rule_pass
night_clear,,0.25,1.5,240,180,40,0.74106,0.06086,0.0,-0.36725,0.13154,0.0,0
nir_night,,0.25,1.5,240,180,40,1.94545,0.07429,0.00014,0.07647,0.13418,0.0004,0
normal_night,,0.25,1.5,240,180,40,1.08632,0.05986,0.00091,-0.15783,0.20477,0.00321,0
night_clear,,0.35,0.5,320,240,40,0.92004,0.04479,0.0,-0.18827,0.14017,0.0,1
nir_night,,0.35,0.5,320,240,40,1.8902,0.05961,1e-05,0.02123,0.1744,0.0,0
normal_night,,0.35,0.5,320,240,40,1.17768,0.07254,0.00339,-0.06646,0.19069,0.00168,0
night_clear,,0.35,0.5,240,180,40,0.67424,0.04073,0.0,-0.43407,0.13214,0.0,1
nir_night,,0.35,0.5,240,180,40,1.82598,0.05523,0.0,-0.043,0.17058,0.0,0
normal_night,,0.35,0.5,240,180,40,1.0649,0.06425,0.00363,-0.17924,0.17789,0.00181,0
night_clear,,0.35,1.0,320,240,40,0.95822,0.05862,1e-05,-0.15009,0.18649,0.0,0
nir_night,,0.35,1.0,320,240,40,1.9746,0.07294,8e-05,0.10563,0.16436,9e-05,0
normal_night,,0.35,1.0,320,240,40,1.20219,0.07401,0.0013,-0.04196,0.20258,0.00296,0
night_clear,,0.35,1.0,240,180,40,0.70741,0.05345,0.0,-0.4009,0.17772,0.0,0
nir_night,,0.35,1.0,240,180,40,1.90529,0.06322,4e-05,0.03632,0.15813,0.0,0
normal_night,,0.35,1.0,240,180,40,1.08613,0.06522,0.00231,-0.15802,0.19185,0.00307,0
night_clear,,0.35,1.2,320,240,40,0.97426,0.06286,2e-05,-0.13405,0.19323,0.0,0
nir_night,,0.35,1.2,320,240,40,1.99288,0.0786,0.00012,0.12391,0.16418,0.00018,0
normal_night,,0.35,1.2,320,240,40,1.20898,0.07133,0.00099,-0.03516,0.20855,0.00311,0
night_clear,,0.35,1.2,240,180,40,0.72113,0.05836,0.0,-0.38718,0.19231,0.0,0
nir_night,,0.35,1.2,240,180,40,1.93041,0.0689,0.0001,0.06143,0.15396,0.00018,0
normal_night,,0.35,1.2,240,180,40,1.0911,0.06545,0.00144,-0.15305,0.19678,0.00352,0
night_clear,,0.35,1.5,320,240,40,1.00176,0.06582,2e-05,-0.10655,0.14173,1e-05,0
nir_night,,0.35,1.5,320,240,40,2.01962,0.08629,0.00021,0.15064,0.16996,0.00067,0
normal_night,,0.35,1.5,320,240,40,1.21897,0.06894,0.00092,-0.02517,0.21492,0.00299,0
night_clear,,0.35,1.5,240,180,40,0.74257,0.06088,1e-05,-0.36574,0.13154,0.0,0
nir_night,,0.35,1.5,240,180,40,1.95542,0.07472,0.00018,0.08645,0.13502,0.0004,0
normal_night,,0.35,1.5,240,180,40,1.0984,0.06014,0.00108,-0.14575,0.20301,0.00378,0
