env_class,edge_case,lo,hi,n,mean_blend_w,pct_genuinely_blended,mean_delta_log_rms,mean_pct_sat_after,mean_pct_crush_after,surrogate_mode,stopping_rule_pass
rain,,0.2,0.45,20,0.84708,0.45,0.02851,0.00107,0.00314,single_frame_ema_proxy,0
normal_day,,0.2,0.45,20,0.90239,0.45,-0.03744,0.00051,0.00908,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.45,25,0.0,0.0,-0.10053,0.118,0.00081,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.55,40,0.0,0.0,-0.15305,0.02763,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.55,40,0.67359,0.775,0.0674,0.00205,0.00239,single_frame_ema_proxy,0
normal_night,,0.2,0.55,40,0.01661,0.125,-0.05535,0.0503,0.00473,single_frame_ema_proxy,0
fog,,0.2,0.55,30,0.94999,0.1667,0.0214,0.00134,0.00226,single_frame_ema_proxy,0
glare,,0.2,0.55,30,0.47755,0.7333,-0.00977,0.02267,0.0,single_frame_ema_proxy,0
backlight,,0.2,0.55,25,0.6793,0.72,-0.14035,0.01296,0.00168,single_frame_ema_proxy,0
rain,,0.2,0.55,20,0.70299,0.8,0.02281,0.00163,0.00187,single_frame_ema_proxy,0
normal_day,,0.2,0.55,20,0.75809,0.7,-0.07562,0.00029,0.00171,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.55,25,0.0,0.0,-0.10205,0.11943,0.00079,single_frame_ema_proxy,0
