path,env_class,bucket,bucket_fn,run_mode,before_log_rms_contrast,before_pct_saturated,before_pct_crushed,before_hist_entropy,before_local_contrast_std,after_log_rms_contrast,after_pct_saturated,after_pct_crushed,after_hist_entropy,after_local_contrast_std,proc_ms
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1194.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.05793,0.001142,0.919681,2.61819,14.23531,0.01548,0.0,0.936766,1.80615,13.25026,5.795
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5136.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,0.90191,0.000297,0.752418,3.70269,14.04316,0.90966,0.027764,0.0,5.91608,52.89671,6.566
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5136.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,0.90191,0.000297,0.752418,3.70269,14.04316,1.04446,0.000322,0.000437,3.92397,19.02915,2.651
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5136.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,0.90191,0.000297,0.752418,3.70269,14.04316,0.03904,3.6e-05,0.833164,3.00773,12.49552,4.642
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2464.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.23856,0.001834,0.272378,6.27926,40.65173,1.13988,0.268777,3.6e-05,6.60561,91.08612,5.494
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2464.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.23856,0.001834,0.272378,6.27926,40.65173,1.45906,0.003074,0.003804,7.04475,58.65948,2.08
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2464.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.23856,0.001834,0.272378,6.27926,40.65173,0.28261,0.00399,0.424497,5.59316,36.06544,4.682
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/878.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.18045,0.000856,0.468841,5.1142,23.80575,1.0756,0.117153,4e-06,6.89009,78.0544,5.362
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/878.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.18045,0.000856,0.468841,5.1142,23.80575,1.26535,0.000799,0.008981,5.63799,35.3214,3.632
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/878.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.18045,0.000856,0.468841,5.1142,23.80575,0.14823,0.000985,0.581797,4.64296,22.55734,4.718
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5790.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.15521,0.000637,0.476579,4.98458,24.51363,1.02677,0.094375,0.0,6.80972,75.14454,6.919
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5790.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.15521,0.000637,0.476579,4.98458,24.51363,1.23992,0.000671,0.002719,5.56436,34.69079,2.554
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5790.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.15521,0.000637,0.476579,4.98458,24.51363,0.17797,0.001075,0.614846,4.32062,24.28805,4.925
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/77.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.28548,0.000292,0.801826,3.60755,17.61585,1.0039,0.014855,0.0,5.81252,41.69157,7.103
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/77.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.28548,0.000292,0.801826,3.60755,17.61585,1.28806,0.000365,0.005035,3.74244,20.77328,2.984
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/77.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.28548,0.000292,0.801826,3.60755,17.61585,0.09849,0.0,0.846093,3.19016,16.4543,4.974
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5016.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.08447,0.00031,0.757402,3.83855,13.26505,0.98893,0.038067,0.0,5.97412,54.80365,5.821
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5016.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.08447,0.00031,0.757402,3.83855,13.26505,1.16983,0.00034,0.002016,4.03271,22.29281,2.731
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5016.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.08447,0.00031,0.757402,3.83855,13.26505,0.08522,0.0,0.80457,3.42043,11.59145,4.927
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4091.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.27415,0.00503,0.4189,5.57373,43.77554,1.06845,0.187281,0.0,6.80237,78.94046,7.554
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4091.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.27415,0.00503,0.4189,5.57373,43.77554,1.36184,0.00376,0.004243,6.44667,52.6947,2.313
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4091.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.27415,0.00503,0.4189,5.57373,43.77554,0.28045,0.006776,0.579052,4.90357,40.85779,5.219
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2623.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,0.98348,0.000287,0.783116,3.63601,13.30333,0.9174,0.023466,0.0,5.79074,48.3548,6.796
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2623.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,0.98348,0.000287,0.783116,3.63601,13.30333,1.0811,0.000319,0.002771,4.00236,18.83512,2.796
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2623.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,0.98348,0.000287,0.783116,3.63601,13.30333,0.0095,0.0,0.845607,2.92305,11.80934,5.646
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/431.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.27485,0.000624,0.551543,4.33256,14.34976,1.06087,0.020662,0.0,6.58908,50.04027,6.52
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/431.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.27485,0.000624,0.551543,4.33256,14.34976,1.31845,0.000662,0.004447,5.11419,19.36912,3.039
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/431.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.27485,0.000624,0.551543,4.33256,14.34976,0.12583,0.000114,0.683401,3.93205,12.6466,5.78
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/5342.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,1.93059,8.9e-05,0.011333,7.5357,40.35521,2.13934,0.0,0.002889,5.31056,43.24739,5.607
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/5342.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,1.93059,8.9e-05,0.011333,7.5357,40.35521,2.14977,0.006044,0.006667,7.74848,39.45696,0.251
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/5342.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,1.93059,8.9e-05,0.011333,7.5357,40.35521,1.6227,0.007378,0.005067,7.28299,34.28307,0.935
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3048.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,1.72017,0.0,0.007689,6.89197,28.56434,2.00341,0.0,0.004,6.63506,35.86557,5.213
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3048.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,1.72017,0.0,0.007689,6.89197,28.56434,2.02745,0.001378,0.003333,7.43924,30.77291,0.211
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3048.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,1.72017,0.0,0.007689,6.89197,28.56434,1.54711,0.002489,0.0048,6.8476,29.45394,1.053
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6966.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,2.08009,0.003333,0.001733,7.56015,28.41625,2.10953,0.018133,0.0,7.7259,26.55315,6.24
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6966.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,2.08009,0.003333,0.001733,7.56015,28.41625,2.30643,0.016844,0.005778,7.86442,29.08512,0.231
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6966.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,2.08009,0.003333,0.001733,7.56015,28.41625,1.86186,0.002311,8.9e-05,7.40524,27.37432,0.778
